,Tract,Request Count
1,070800,9893
2,070900,9252
3,080100,7225
4,010500,7130
5,081400,6838
6,081800,5528
7,081700,5249
8,080401,4854
9,090400,4851
10,082100,4628
11,082000,4520
12,081900,4403
13,081500,3997
14,080300,3836
15,090600,3483
16,091300,3305
17,080601,2926
18,081300,2871
19,080500,2504
20,091400,2456
21,091200,1951
22,010404,1930
23,120301,1541
24,010405,1214
25,070600,1087
26,080801,891
27,010600,852
28,980300,813
29,010403,766
30,090300,719
31,070500,391
32,091500,294
33,071101,169
34,010300,163
35,091100,10
